name,country,institution,links,expertise
Xin Dong,united states,amazon.com,"Alexandra Meliou,Alexandre Michetti Manduca,Alon Y. Halevy,Alvin Cheung,Amol Deshpande,Amélie Marian,AnHai Doan,Anastasia Ailamaki,Anastasios Kementsietsidis,Andrea De Angelis,Andrea Maurino,Andrew McCallum,Andrew Pavlo,Andrey Kan,Anish Das Sarma,Anja Gruenheid,Anno Langen,Arash Einolghozati,Armin Haller,Barna Saha,Beng Chin Ooi,Binxuan Huang,Bryan Chan,Bunyamin Sisman,C. Mohan,Camillo Lugaresi,Chao Tian,Chengkai Li,Chenwei Zhang,Christan Grant,Christian Bizer,Christina Tziviskou,Christopher Ré,Christos Faloutsos,Chuang Gan,Colin Lockard,Cong Yu,D. Sivakumar,Da Zheng,Daheng Wang,Daisy Zhe Wang,Dan Suciu,Danai Koutra,Daniel Abadi,David G. Andersen,David Ko,David Page,Di Jin,Disheng Qiu,Divesh Srivastava,Donald Kossmann,Donatella Firmani,Dongxu Zhang,Eduard Constantin Dragut,Ema Nemes,Evangelos Kalampokis,Evgeniy Gabrilovich,Fabian M. Suchanek,Fan Xiao,Fatma Ozcan,Federico Piai,Feifei Li,Felix Naumann,Franck Cotton,Freddy Lécué,Furong Li,Gabriel Blanco Saldana,George Karypis,Geremy Heitz,Gerhard Weikum,Gerome Miklau,Giannis Karamanolakis,Guineng Zheng,Haidong Wang,Hannaneh Hajishirzi,Hanxiong Chen,Hao He,Hao Wei,Haw-Shiuan Chang,Henry F. Korth,Hongyuan Zha,Hui Sun,Igor Tatarinov,Ihab F. Ilyas,Jay Ren,Jayant Madhavan,Jeff Klingner,Jialong Han,Jiawei Han,Jie Feng,Jignesh M. Patel,Jim Chan,Jin Li,Jing Gao,Jing Liu,Jing Michelle Liu,Jingbo Shang,Joseph M. Hellerstein,Julia Stoyanovich,Juliana Freire,Jun Ma,Jun Yan,Jun Yang,Jun Zhang,Junheng Hao,Junyang Gao,Justin Talbot,Kenneth B. Lyons,Kenneth Lyons,Kevin Murphy,Laks V. S. Lakshmanan,Laure Berti-Équille,Lei Chen,Li Xiong,Liqiang Xiao,Lise Getoor,Luciano Barbosa,Luna Dong,M. Tamer Özsu,Magda Balazinska,Magdalena Balazinska,Maria-Esther Vidal,Mariam Salloum,Mary Feng,Maurizio Mazzei,Mayank Kejriwal,Meng Jiang,Michael J. Franklin,Michael J. Witbrock,Michael Stonebraker,Mike Cammarano,Min Zhang,Namyong Park,Nasser Zalmout,Ni Lao,Nilesh N. Dalvi,Oren Etzioni,P. P. S. Narayan,Paolo Merialdo,Pascal Hitzler,Pascual Martínez-Gómez,Pat Hanrahan,Pedro A. Szekely,Pei Li,Peng Lin,Peter A. Boncz,Peter Bailis,Peter Mork,Philip A. Bernstein,Philip Bohannon,Pradeep Shenoy,Prashant Shiralkar,Qi Song,Qi Zhu,Raghu Ramakrishnan,Rakshit Trivedi,Raluca A. Popa,Ramanathan V. Guha,Raphaël Troncy,Ravali Pochampally,Renée J. Miller,Rongmei Lin,Rémi Zajac,S. Muthukrishnan,Safa Alai,Sailesh Krishnamurthy,Sarven Capadisli,Saurabh Deshpande,Sebastian Link,Serge Abiteboul,Sergey Melnik,Shaohua Sun,Shawn R. Jeffery,Shazia Wasim Sadiq,Shirley Cohen,Shuiwang Ji,Simon Razniewski,Songtao Guo,Stratos Idreos,Su Chen,Subhabrata Mukherjee,Sumit Ganguly,Surajit Chaudhuri,Surender Pal Singh,Tamraparni Dasu,Theodoros Rekatsinas,Thomas Neumann,Thomas Strohmann,Tim Althoff,Tim Kraska,Tong Sun,Tong Zhao,Tova Milo,Valter Crescenzi,Van Dang,Varun Embar,Vassilis J. Tsotras,Volker Markl,Wang Chiew Tan,Wang-Chiew Tan,Wei Chen,Wei Wang,Wei Zhang,Weiyi Meng,Wenfei Fan,Wilko Horn,Xian Li,Xiang He,Xiang Ren,Xianjie Chen,Xiaofang Zhou,Xiaoguang Liu,Xiaolan Wang,Xin Luna Dong,Xinyang Zhang,Xu Chen,Xuan Liu,Yan Liang,Yana Kadiyska,Yang Li,Yanyan Shen,Yaohui Jin,Yaqing Wang,Yifan Ethan Xu,Yifan Hu,Yikun Xian,Yinghui Wu,Yizhou Sun,Yongfeng Zhang,Yue Wang,Yuhan Cai,Yuning Mao,Zachary G. Ives,Zhe Fan,Zhengbao Jiang,Zhengyang Wang",2
Luo Mai,united kingdom,imperial college,"Abdul Alim,Akara Supratak,Alexander L. Wolf,Alexandros Koliousis,Andrei-Octavian Brabete,Andrew W. Moore,Anil Madhavapeddy,Axel Oehmichen,Chao Lang,Chuntao Hong,Da Yu,David Greaves,David Oran,Derek McAuley,Eric Seckler,Fangde Liu,Guo Li,Hao Dong,Hongming Zhang,Hui Liu,Indranil Gupta,Jiawei Liu,Jie Ren,Jon Crowcroft,Jonny Shipton,Junzhao Du,Kai Wang,Kai Zeng,Konstantinos Fertakis,Le Xu,Longfei Shangguan,Luis Oviedo,Lukas Rupprecht,Marcel Wagenländer,Marcin Wójcik,Masoud Koleini,Matteo Migliavacca,Matthias Weidlich,Mo Li,Nik Sultana,Noa Zilberman,Orran Krieger,Paolo Costa,Peter R. Pietzuch,Pietro Bressana,Pijika Watcharapichat,Quancheng Guo,Rahul Potharaju,Ran Yan,Richard G. Clegg,Richard Mortier,Robert Soulé,Rodrigo Fonseca,Salvator Galea,Saravanam Muthukrishnan,Shivaram Venkataraman,Shiwen Liu,Shucong Li,Simiao Yu,Somaya Arianfar,Sriram Rao,Steve Suh,Sudheer Dhulipalla,Terry Kim,Tianyang Yu,Vamsi Kuppa,Wenteng Liang,Xiao Liu,Yanhua Huang,Yike Guo,Yixiao Guo,Zhenjiang Li,Zihan Ding",7
Madhulika Mohanty,india,iit delhi,"Gerhard Weikum,Maya Ramanath,Mohamed Yahya",5
Martin Theobald,luxembourg,university of luxembourg,"A. Schuh,Abdalghani Abujabal,Ablimit Aji,Alan Woodley,Alessandro Temperoni,Alon Y. Halevy,Amal Tawakuli,Amol Deshpande,Amélie Marian,Ana Ozaki,Ander de Keijzer,Andreas Broschart,Andreas Paepcke,Andrew Trotman,André Melo,Angelika Kimmig,Anish Das Sarma,Anne Schuth,Antoine Doucet,Arjen P. de Vries,Arunav Mishra,Benjamin Quost,Birgitta König-Ries,Christian Theobalt,Christian Zimmer,Christine L. Lisetti,Christoph Benzmüller,Christoph Koch,Christopher M. De Vries,Claudia d'Amato,Claus-Peter Klas,Dan Olteanu,Daniel Sonntag,Darren Wei Che Huang,Dat Ba Nguyen,David Menestrina,Debapriyo Majumdar,Dimitrios Mavroeidis,Elizabeth Chang,Emilio Muñoz-Velasco,Eric Abelson,Eric SanJuan,Fabian M. Suchanek,Falk Scholer,Farookh Khadeer Hussain,Floris Geerts,Francesco Costamagna,Gabriella Kazai,George H. L. Fletcher,George Tsatsaronis,Georgia Koutrika,Georgina Ramírez,Georgina Ramírez Camps,Gerard de Melo,Gerhard Weikum,Gianluca Demartini,Giovanni Siragusa,Guido Boella,Guillaume Raschia,Hannah Bast,Hans Uszkoreit,Hector Garcia-Molina,Ihab F. Ilyas,Ioana Manolescu,Iris Miliaraki,Jaap Kamps,James A. Thom,James Tompkin,Jan Kautz,Jennifer Widom,Jens Graupmann,Jianhan Zhu,Jinchuan Chen,Johanna Völker,Johannes Hoffart,Jonathan Siddharth,Josiane Mothe,Katerina Papaioannou,Katja Hose,Khairun Nisa Fachry,Khanh Tran,Kwang In Kim,Livio Robaldo,Luc De Raedt,Ludovic Denoyer,Luigi Di Caro,Maarten Marx,Maarten Van den Heuvel,Maciej Skorski,Marijn Koolen,Mark Sanderson,Matthew Trappett,Matthias Bender,Matthias Renz,Mauro Dalle Lucca Tosi,Mauro Sozio,Maximilian Dylla,Michael Biwer,Michael H. Böhlen,Michael Preminger,Michalis Vazirgiannis,Michi Mutsuzaki,Miro Lehtonen,Mohamed Yahya,Mohammed AbuJarour,Monica Landoni,Morteza Saberi,Nahla Ben Amor,Ndapandula Nakashole,Nils Pharo,Norbert Fuhr,Omar Alonso,Omar Benjelloun,Omar Khadeer Hussain,Parag Agrawal,Patrice Bellot,Patrick Gallinari,Patrick Zimmer,Peter Adolphs,Peter Ivanov,Peter J. Haas,Plarent Haxhidauti,Qiuyue Wang,Raghotham Murthy,Ragnar Nordlie,Ralf Schenkel,Richi Nayak,Rohan Nanda,Sairam Gurajada,Samira Chaychi,Sangeetha Kutty,Sean Kandel,Sergej Sizov,Seung-won Hwang,Shlomo Geva,Silvana Solomon,Stefan Siersdorfer,Stephan Seufert,Steven Euijong Whang,Tereza Iofciu,Thomas Beckers,Thomas Hubauer,Thomas Neumann,Timm Meiser,Timothy Chappell,Tomoe Sugihara,Ulrich Schäfer,Vasilis Vassalos,Vinu E. Venugopal,Vinu Ellampallil Venugopal,Véronique Moriceau,Wei Chi Huang,Wolfgang Gatterbauer,Xavier Tannier,Yafang Wang,Yan Wu,Zhaochun Ren",8
Matteo Interlandi,united states,microsoft,"Abhishek Goswami,Abhishek Roy,Alberto Scolari,Alekh Jindal,Alexander Shkapsky,Andrew Chung,Andy Xu,Antonio Maccioni,Ari Ekmekji,Ariyam Das,Artidoro Pagnoni,Ashvin Agrawal,Avrilia Floratou,Beomyeol Jeon,Beysim Sezgin,Bojan Karlas,Brandon Myers,Brian Cho,Brian Kroth,Byung-Gon Chun,Carlo Curino,Carlo Zaniolo,Ce Zhang,Chris Douglas,Chris Lauren,Cody Hao Yu,Costin Eseanu,Cédric Renggli,Dahlia Malkhi,Deepak Mukunthu Iyappan Babu,Di Wu,Dimitrios Koutsoukos,Doris Xin,Eric Erhardt,Eugene Wu,Fabio Ferrari,Fotis Psallidas,Francesco Del Buono,Francesco Guerra,Gal Oshri,Gani Nazirov,Giovanni Simonini,Gleb Krivosheev,Gustavo Alonso,Gyeong-In Yu,Gyewon Lee,Hiren Patel,Hitesh Sharma,Hsuan Chiu,Ivan Matantsev,Ivan Popivanov,Jason Cong,Jignesh Parmar,Joo Seong Jeong,Jordan Edwards,Joseph Noor,Julia Wang,Julien Lacroix,Justin Ormont,Jyoti Leeka,Karla Saur,Konstantinos Karanasos,Krishnadhan Das,Kshitij Shah,Kwanghyun Park,Lana Ramjit,Laura Po,Letizia Tanca,Ling Ding,Luca Pazzi,Malay Bag,Marc T. Friedman,Marco Domenico Santambrogio,Marco Pradelli,Mariia Mykhailova,Mario Longo,Markus Weimer,Matteo Paganelli,Maurizio Vincini,Mikhail Bilenko,Mingda Li,Miryung Kim,Mohammad Alizadeh,Mohammad Zeeshan Siddiqui,Mohan Yang,Monte Hoover,Muhammad Ali Gulzar,Muhuan Huang,Najeeb Kazmi,Nan Tang,Neha Godwal,Olga Poppe,Omar Boucelma,Paolo Sottovia,Parimarjan Negi,Pete Luferenko,Prabhat Roy,Pulkit Grover,Raghu Ramakrishnan,Raquel Trillo,Raquel Trillo Lado,Rathijit Sen,Ravi Netravali,Rogan Carr,Rony Chatterjee,Russell Sears,Ryan Marcus,Saeed Amizadeh,Sai Deep Tetali,Sarthak Shah,Scott Inglis,Sehoon Kim,Senja Filipi,Sergiy Matusevych,Seunghyun Yoo,Shaghayegh Mardani,Shahab Moradi,Shauheen Zahirazami,Shon Katzenberger,Shravan M. Narayanamurthy,Silvia Rota,Sonia Bergamaschi,Soummya Kar,Sriram Rao,Subru Krishnan,Supun Nakandala,Taegeon Um,Tim Kraska,Todd D. Millstein,Tom Finley,Tony Majestro,Travis Wright,Tyson Condie,Vadim Eksarevskiy,Wei Wang,Wei-Sheng Chin,Wentao Wu,Xavier Dupré,Xueyuan Han,Yael Dekel,Yannis Velegrakis,Yaoqing Yang,Yingda Chen,Yiwen Zhu,Youfu Li,Youngseok Yang,Yuan Yu,Yunseong Lee,Zeeshan Ahmed,Zhenman Fang",6
Matthias Boehm,austria,graz university of technology,"Ahmed Elgohary,Alain Biem,Alexandre V. Evfimievski,Alireza Rezaei Mahdiraji,Andreas Doms,Ankit Chaudhary,Arash Ashari,Arnab Phani,Arun Kumar,Arvind Surve,Behrouz Derakhshan,Benjamin Rath,Benjamin Schlegel,Berthold Reinwald,Bogdan Filipic,Botong Huang,Christof Fetzer,Claus Neubauer,Daby M. Sow,Deepak S. Turaga,Deron Eriksson,Dirk Habich,Douglas Burdick,Douglas R. Burdick,Dylan Hutchison,Elena Vasilyeva,Erik Dovgan,Faraz Makari Manshadi,Florijan Klezin,Frank Rosenthal,Frederick R. Reiss,Frederick Reiss,Gregor Hackenbroich,Hannes Voigt,Iulian Antonov,J. Michael Schmidt,Johanna Sommer,John Keenleyside,Julia Stoyanovich,Jun Yang,Jürgen Bittner,Keith Campbell,Kevin Innerebner,Lars Dannecker,Laura Chiticariu,Laurynas Siksnys,Maik Thiele,Marina Danilevsky,Mark Dokter,Matthias Böhm,Michael Dusenberry,Michael Hildebrand,Nakul Jindal,Niketan Pansare,Olga Ovcharenko,P. Sadayappan,Peter Benjamin Volk,Peter D. Kirchner,Peter J. Haas,Philipp M. Grulich,Prithviraj Sen,Rajasekar Krishnamurthy,Robert Ginthör,Robert Schulze,Sarah Osterburg,Sebastian Baunsgaard,Sebastian Benjamin Wrede,Sergey Redyuk,Shafaq Siddiqui,Shangyu Luo,Shirish Tatikonda,Shivakumar Vaithyanathan,Siddhartha Brahma,Stefan Geißelsöder,Stefanie N. Lindstaedt,Steffen Preissler,Steffen Preißler,Steffen Zeuch,Steven Whang,Svetlana Sagadeeva,Tarek Elgamal,Tea Tusar,Thomas Kissinger,Tobias Rieger,Torben Bach Pedersen,Ulrike Fischer,Uwe Wloka,Volker Markl,Wolfgang Lehner,Yoann Pitarch,Yuanyuan Tian,Yunyao Li",3
Matthias Boehm,united states,ibm almaden,"Ahmed Elgohary,Alain Biem,Alexandre V. Evfimievski,Alireza Rezaei Mahdiraji,Andreas Doms,Ankit Chaudhary,Arash Ashari,Arnab Phani,Arun Kumar,Arvind Surve,Behrouz Derakhshan,Benjamin Rath,Benjamin Schlegel,Berthold Reinwald,Bogdan Filipic,Botong Huang,Christof Fetzer,Claus Neubauer,Daby M. Sow,Deepak S. Turaga,Deron Eriksson,Dirk Habich,Douglas Burdick,Douglas R. Burdick,Dylan Hutchison,Elena Vasilyeva,Erik Dovgan,Faraz Makari Manshadi,Florijan Klezin,Frank Rosenthal,Frederick R. Reiss,Frederick Reiss,Gregor Hackenbroich,Hannes Voigt,Iulian Antonov,J. Michael Schmidt,Johanna Sommer,John Keenleyside,Julia Stoyanovich,Jun Yang,Jürgen Bittner,Keith Campbell,Kevin Innerebner,Lars Dannecker,Laura Chiticariu,Laurynas Siksnys,Maik Thiele,Marina Danilevsky,Mark Dokter,Matthias Böhm,Michael Dusenberry,Michael Hildebrand,Nakul Jindal,Niketan Pansare,Olga Ovcharenko,P. Sadayappan,Peter Benjamin Volk,Peter D. Kirchner,Peter J. Haas,Philipp M. Grulich,Prithviraj Sen,Rajasekar Krishnamurthy,Robert Ginthör,Robert Schulze,Sarah Osterburg,Sebastian Baunsgaard,Sebastian Benjamin Wrede,Sergey Redyuk,Shafaq Siddiqui,Shangyu Luo,Shirish Tatikonda,Shivakumar Vaithyanathan,Siddhartha Brahma,Stefan Geißelsöder,Stefanie N. Lindstaedt,Steffen Preissler,Steffen Preißler,Steffen Zeuch,Steven Whang,Svetlana Sagadeeva,Tarek Elgamal,Tea Tusar,Thomas Kissinger,Tobias Rieger,Torben Bach Pedersen,Ulrike Fischer,Uwe Wloka,Volker Markl,Wolfgang Lehner,Yoann Pitarch,Yuanyuan Tian,Yunyao Li",6
Matthias Renz,united states,george mason univ.,"Agnès Voisard,Alexander Katzdobler,Alexey Pryakhin,Amol Deshpande,Amr Magdy,Andreas Züfle,Andrew Zherdin,André Suhartha,Anish Das Sarma,Anna Follmann,Arthur Zimek,Birgitta König-Ries,Carola Trahms,Chang-Tien Lu,Chengyang Zhang,Christiaan Hendrikus van der Meijden,Christian Beth,Christian Böhm,Christian Frey,Christian Sengstock,Cyrus Shahabi,David W. Cheung,Diana Uskat,Dieter Pfoser,Dimitris Sacharidis,Elke Achtert,Erich Schubert,Erik G. Hoel,Fabian D. Winter,Felix Borutta,Fengchao Peng,Florian Verhein,Francesco Ricci,Franz Graf,Georgios Skoumas,Goce Trajcevski,Gregor Jossé,Haiquan Chen,Hans-Joachim Lenz,Hans-Peter Kriegel,Hardik Patel,Henriette Obermaier,Ihab F. Ilyas,Jagan Sankaranarayanan,Jef Wijsen,Jie Bao,Johannes Aßfalg,Johannes Niedermayer,Johannes Senner,Joris Peters,Jörg Sander,Khaled Ammar,Klaus Arthur Schmid,Klaus Wallmann,Krzysztof Janowicz,Kyoji Kawagoe,Kyriakos Mouratidis,Lei Chen,Liang Tang,Liang Wang,Marco Pötke,Mario A. Nascimento,Markus Mauder,Markus Reisinger,Martin Pfeifle,Martin Theobald,Martin Visbeck,Matthew T. Rice,Matthias Schubert,Maurice van Keulen,Maximilian Franzke,Maximilian Hünemörder,Michael E. Houle,Michael Gertz,Michael Weiler,Mirco Stern,Mohamed Sarwat,Mohammed Eunus Ali,Muhammad Aamir Cheema,Muhammad Asif Suryani,Myra Spiliopoulou,Naixin Xu,Neal Lathia,Nikos Mamoulis,Nina C. Hubig,Panagiotis Bouros,Patricia Handmann,Paul L. Delamater,Pavlos Paraskevopoulos,Peer Kröger,Peiwu Zhang,Peter Kunath,Petra-Maria Strauß,Reynold Cheng,Roberto Tamassia,Rudolf Kruse,Sau Dan Lee,Sebastian H. R. Wurst,Shaoxu Song,Shawn D. Newsam,Shiming Zhang,Siva Ravada,Stefan Brecheisen,Stefan Zankl,Tamraparni Dasu,Thomas Bernecker,Thomas Hubauer,Thomas Seidl,Thorge Petersen,Tim Schmidt,Timos K. Sellis,Timothy Leslie,Tobias Emrich,Ugur Demiryurek,Wei-Shinn Ku,Willi Rath,Xiaofang Zhou,Yan Huang,Yang-Sae Moon,Yaron Kanza,Ying Lu,Yixiang Fang,Yu Tang,Yu Zheng",6
Maximilian Schleich,germany,relational ai,"Alexandru Ghita,Amir Shaikhha,Anton Lykov,Benjamin Moseley,Dan Olteanu,Dan Suciu,Guy Van den Broeck,Hung Q. Ngo,Jordan Li,Leopoldo E. Bertossi,Mahmoud Abo Khamis,Maximilian-Joel Schleich,Radu Ciucanu,Ryan R. Curtin,XuanLong Nguyen,Yihong Zhang,Zixuan Geng,Zografoula Vagena",4
Mayank Singh,india,indian institute of technology kharagpur,"Aarchi Agrawal,Abhishek Niranjan,Abhisht Tiwari,Ajay Jaiswal,Akhilesh Ravi,Aman,Amit Kumar Singh Yadav,Amrith Krishna,Animesh Mukherjee,Ankush Chauhan,Arik Pamnani,Arindam Pal,Arpit Kaushal,Atharva Chewale,Atharva Vyas,Athulkumar R,Ayush Garg,Barnopriyo Barua,Bibhas Adhikari,Dhiraj Barnwal,Divyansh Gupta,Gaurav Viramgami,Harsh Desai,Harsh Patel,Heer Ambavi,Hitarth Gandhi,Hrushti Naik,Jagriti Jalal,Jainish Chauhan,Jatin Dholakia,Jayesh Choudhari,K. S. Ashin Shanly,Kalyan Reddy,Kaushal Modi,Kavita Vaishnaw,Kevin Patel,Krishna Sai Rohith,Kumar Ayush,Lipika Dey,Manas Satish Bedmutha,Manvi Garg,Mihir Jain,Mohamed Shamir,Monarch Parmar,Mridul Sharma,Mrinal Anand,Naman Jain,Nidhin Harilal,Nikhil Angad Bakshi,Niloy Ganguly,Nipun Batra,Nipun Mahajan,Nitiksha,Ojas Mithbavkar,P. Jayakrishna Sahit,Pawan Goyal,Pradeep Dogga,Pradumn Kumar Pandey,Prakash R,Pranjali Jain,Pratik Kayal,Praveen Venkatesh,Pritam Kadasi,Priya Shree,Priyank Palod,Rajarshi Haldar,Rajat Goel,Rajdeep Sarkar,Rima Hazra,Rishiraj Adhikary,Ritam Dutt,Rohit Patil,Rohit Sharma,Ronak Kaoshik,Sammed S. Kagi,Sammed Shantinath Kagi,Samuel Bushi,Sanyam Agarwal,Sarath Guttikunda,Sayantan Adak,Shaurya Agarawal,Shivam Patel,Shivam Sahni,Shruti Singh,Sidhartha Satapathy,Soham Dan,Soham Pachpande,Sohan Patro,Soumajit Pramanik,Soumen Chakrabarti,Suhansanu Kumar,Tanmay Sharma,Tanmay Srivastava,Tanmoy Chakraborty,Tulasi Gamidi,Udit Bhatia,Udit Vyas,Ujjaval Shah,Varun Jain,Vikas Patidar,Viraj Shah,Vivek Srivastava,Zeel B. Patel",5
Mayukh Das,india,"microsoft research lab, india","Aadesh Gupta,Abinaya Mahendiran,Alexander L. Hayes,Anjali Narayan-Chen,Antoine Honore,Ashish Srivastava,Brijraj Singh,Caroline Brun,Christian Clauss,Colin Graber,Connor Boyle,Dan Roth,Denis Kleyko,Devendra Singh Dhami,Eduard H. Hovy,Emile Chapuis,Fabrice Harel-Canada,Filip Cornell,Gautam Kunapuli,Gautier Dagan,Hanna Behnke,Ian Berlot-Attwell,Ishan Jindal,Janardhan Rao Doppa,Jascha Sohl-Dickstein,Jinho D. Choi,Julia Hockenmaier,Kaustubh D. Dhole,Kristian Kersting,Lisa Barthe,Louanes Hamla,Marco Antonio Sobrevilla Cabezudo,Marco Di Giovanni,Martha Palmer,Md Rakibul Islam,Mukund Choudhary,Nagender Aneja,Nandini Ramanan,Ondrej Dusek,Paul-Alexis Dray,Phillip Odom,Pierre Colombo,Praveen Doreswamy Naidu,Przemyslaw K. Joniak,Rabin Banjade,Rishabh Gupta,Saad Mahamood,Sajant Anand,Samson Tan,Samuel Cahyawijaya,Sang Han,Sebastian Gehrmann,Sebastian Ruder,Simon Mille,Soham Dan,Sriraam Natarajan,Suchitra Dubey,Tanay Dixit,Tatiana Ekeinhor,Thomas Dopierre,Tongshuang Wu,Tushar Khot,Varun Gangal,Venelin Kovatchev,Wanxiang Che,Yang Yu,Yash Jain,Yuqing Wu,Zhenhao Li,et al.",2
Michael J. Cafarella,united states,mit csail,"Aasheesh Kolli,Ahmad Shahab Tajik,Alana Marzoev,Alberto Lerner,Alessandra Mazzia,Alexander Yates,Allan Vanterpool,Alon Y. Halevy,Ana-Maria Popescu,Andrew Fikes,Andrew Quinn,Andy E. Fano,Arjun Balasingam,Arun Kumar,Athinagoras Skiadopoulos,Barzan Mozafari,Benjamin Price,Bochun Zhang,Ce Zhang,Christopher Baik,Christopher Ré,Christos Kozyrakis,Chun-Hung Hsiao,Cong Yu,Daisy Zhe Wang,Dan Suciu,Daniel Cory,Daniel Hong,Daniel J. Abadi,Daniel Prevo,Daniel S. Weld,David Bestor,David J. DeWitt,Deeptaanshu Kumar,Divy Agrawal,Dolan Antenucci,Donald Kossmann,Doug Downey,Douglas R. Cutting,Eaman Jahani,Edward Y. Chang,El Kindi Rezig,Elena Eneva,Erdong Li,Eugene Wu,Eytan Adar,Faissal M. Sleiman,Favyen Bastani,Feiran Wang,Feng Niu,Gang Xiao,Germán Ros,Goetz Graefe,Gregory J. DeAngelo,Guan Wang,H. V. Jagadish,Hari Balakrishnan,Hongrae Lee,Ihab F. Ilyas,Jacob Andreas,Jaeho Shin,Jason Flinn,Jason Li,Jayant Madhavan,Jeremy Kepner,Jock D. Mackinlay,Joseph M. Hellerstein,Jun Chen,Junfeng Zhuang,Karthik Gopalakrishnan,Kaushik Veeraraghavan,Kostis Kaffes,Lalith Suresh,Li Qian,Loris D'Antoni,Luke K. McDowell,M. Frans Kaashoek,Magdalena Balazinska,Mahfus Uddin,Manish Singh,Marcel Kornacker,Margaret Levenstein,Matei Zaharia,Matthew Broadhead,Matthew Burgess,Matthew Shapiro,Maxwell Strome,Maziyar Baran Pouyan,Michael Chow,Michael I. Jordan,Michael Minar,Michael R. Anderson,Michael Stonebraker,Michele Banko,Mike Cafarella,Mohammad Alizadeh,Nathaniel Brown,Nodira Khoussainova,Oren Etzioni,Osbert Bastani,Penghua Zhao,Peter Kraft,Philip A. Bernstein,Prateek Tandon,Qian Li,Raghu Ramakrishnan,Richard Wesley,S. Muthukrishnan,Saeideh Shahrokh Esfahani,Sam Madden,Samuel Madden,Sasha Dadiomov,Satish Narayanasamy,Sean Kandel,Sen Wu,Shana Mathew,Shaobo Liu,Songtao He,Stanley Kok,Stephen Soderland,Tal Shaked,Thomas F. Wenisch,Tim Kraska,Vaibhav Gogte,Victor Bittorf,Vijay Gadepally,Wenjia He,Wilson C. Hsieh,Yang Zhang,Yixing Jiang,Yongjoo Park,Yuze Lou,Zhe Chen,Zhongjun Jin,Ziwen Jiang",10
Michael N. Gubanov,united states,florida state university,"Alexander Moshchuk,Anna Pyayt,Anusha Kola,Barna Saha,Bogdan Alexe,C. T. Howard Ho,Caner Enbatan,Christopher M. Jermaine,Daniel Armstrong,Daniel Bruckner,Dimitrije Jankov,Dylan Soderman,Hamid Pirahesh,Harshal More,Ihab F. Ilyas,Ioana Stanoi,Jen-Wei Huang,Jeng-Yih Chang,John Morcos,Kazi Islam,Linda G. Shapiro,Lucian Popa,Luis Leopoldo Perez,Maksim Podkorytov,Manju Priya,Mark Simmons,Mauricio A. Hernández,Michael Del Vale,Michael Geyer,Michael Stonebraker,Montasir Shams,Mourad Ouzzani,Paolo Papotti,Philip A. Bernstein,Prahathees Eswara,Rituparna Khan,Robert Brzozowski,Santiago Villasenor,Sean Soderman,Shangyu Luo,Shr-Chang Chen,Sophie Pavia,Steven Ortiz,Surya Cheemalapati,Tom Nguyen,Yannis Katsis,Zekai J. Gao,Ziawasch Abedjan",3
Michael J. Mior,united states,rit,"Alexander G. Ororbia II,Ashraf Aboulnaga,Bernard Wong,Daniel Lemire,Edmon Begoli,Eyal de Lara,Javier Tuya,Jesús Camacho-Rodríguez,Julian Hyde,Ken Q. Pu,Kenneth Salem,Khuzaima Daudjee,María José Suárez Cabal,Michael Mior,Pablo Suárez-Otero,Rui Liu,Sajjad Rizvi,Xu Cui",9
